	district	neighbourhood	in_dist
185872	Pirituba	vila regina	1
185982	Vila Jacuí	vila reis	1
186049	Jardim Ângela	vila remo	2
186147	Sapopemba	vila renato	1
186160	Pirituba	vila renato	1
186255	Cidade Dutra	vila represa	1
186420	Vila Leopoldina	vila ribeiro de barros	1
186488	Ponte Rasa	vila ribeiro dos santos	1
186534	Cidade Ademar	vila rica	1
186535	Brasilândia	vila rica	1
186536	Campo Limpo	vila rica	1
186553	Cangaíba	vila rica	1
186585	Aricanduva	vila rica	1
186680	Ponte Rasa	vila rio branco	1
186685	Água Rasa	vila rio branco	1
186763	Ermelino Matarazzo	vila robertina	1
186887	Lapa	vila romana	1
186916	Sacomã	vila romano	1
187055	Mandaqui	vila romero	1
187128	Cachoeirinha	vila roque	1
187213	Tremembé	vila rosa	1
187317	Parelheiros	vila roschel	1
187436	Guaianases	vila roseira	1
187490	Capão Redondo	vila rosina	1
187651	São Miguel	vila rosaria	1
187695	Cidade Dutra	vila rubi	1
187801	Cangaíba	vila rufino	1
187897	Cangaíba	vila rui barbosa	1
188005	Vila Sônia	vila rute	1
188095	Penha	vila re	1
188202	Vila Medeiros	vila sabrina	1
188287	Penha	vila salete	1
188434	Vila Guilherme	vila salvador romeu	1
188504	Ponte Rasa	vila sampaio	1
188550	Cidade Ademar	vila santa catarina	1
188553	Jabaquara	vila santa catarina	1
188626	Vila Guilherme	vila santa catarina	1
188701	Água Rasa	vila santa clara	1
188780	Guaianases	vila santa cruz	1
188795	Perus	vila santa cruz	1
188860	Freguesia do Ó	vila santa delfina	1
189020	Jaguara	vila santa edwiges	1
189054	Vila Jacuí	vila santa ines	1
189183	Carrão	vila santa isabel	1
189226	Jaraguá	vila santa lucrecia	1
189353	Santana	vila santa luzia	1
189409	Jardim Ângela	vila santa lucia	1
189464	Ponte Rasa	vila santa lucia	1
189506	Capão Redondo	vila santa maria	1
189568	Limão	vila santa maria	1
189629	Cidade Líder	vila santa rita	1
189657	Aricanduva	vila santa rita	1
189750	Artur Alvim	vila santa teresa	1
189844	Tucuruvi	vila santa teresinha	1
189892	Sacomã	vila santa tereza	1
190019	José Bonifácio	vila santa terezinha	1
190107	São Lucas	vila santa virginia	1
190187	Itaquera	vila santana	1
190207	Penha	vila santana	1
190216	Campo Grande	vila santana	1
190217	Santana	vila santana	1
190336	Limão	vila santista	1
190399	Penha	vila santo antonio	1
190415	Mandaqui	vila santo antonio	1
190474	Jaraguá	vila santo estevam reis7	1
190613	Tatuapé	vila santo estevao	1
190705	Cursino	vila santo estefano	1
190777	Cangaíba	vila santo henrique	1
190895	Mandaqui	vila santos	1
190947	Sapopemba	vila sapopemba	1
191097	Aricanduva	vila sara	1
191161	Cangaíba	vila sartorio	1
191261	Cidade Líder	vila savoy	1
191361	Jardim Helena	vila seabra	1
191431	Brasilândia	vila serralheiro	1
191561	Santana	vila siciliano	1
191628	Itaim Paulista	vila silva teles	1
191738	Vila Curuçá	vila simone	1
191875	São Miguel	vila sinha	1
191932	Freguesia do Ó	vila siqueira	1
191968	Limão	vila siqueira	1
192003	Sapopemba	vila sirene	1
192184	Socorro	vila socorro	1
192232	Campo Grande	vila sofia	1
192320	Rio Pequeno	vila sol	1
192428	Guaianases	vila solange	1
192487	Brasilândia	vila souza	1
192632	Ponte Rasa	vila stela	1
192683	Itaquera	vila suica	1
192840	Anhanguera	vila sulina	1
192881	Vila Andrade	vila suzana	1
192901	Vila Sônia	vila suzana	1
193002	Vila Medeiros	vila sao camilo	1
193088	Rio Pequeno	vila sao domingos	1
193184	Rio Pequeno	vila sao francisco	1
193208	Ponte Rasa	vila sao francisco	1
193279	Penha	vila sao geraldo	1
193292	Guaianases	vila sao geraldo	1
193369	Cangaíba	vila sao jorge	1
193452	Itaim Paulista	vila sao jose	1
193455	Cidade Dutra	vila sao jose	1
193456	Pirituba	vila sao jose	1
193479	Ipiranga	vila sao jose	1
193484	Guaianases	vila sao jose	1
193537	Jardim Ângela	vila sao judas	1
193715	Butantã	vila sao luis(zona oeste)	1
193760	Rio Pequeno	vila sao luis	1
193851	São Lucas	vila sao nicolau	1
193926	Cidade Ademar	vila sao paulo	1
194056	Campo Grande	vila sao pedro	1
194144	Rio Pequeno	vila sao silvestre	1
194179	São Miguel	vila sao silvestre	1
194236	Freguesia do Ó	vila sao vicente	1
194271	Carrão	vila sao vicente	1
194316	Itaim Paulista	vila sergio	1
194425	Cangaíba	vila silvia	1
194507	Itaquera	vila siria	1
194629	Vila Sônia	vila sonia	1
194736	Vila Matilde	vila talarico	1
194795	Itaquera	vila taquari	1
194887	Brasilândia	vila teresinha	1
195004	Freguesia do Ó	vila timoteo	1
195104	Rio Pequeno	vila tiradentes	1
195171	Sapopemba	vila tolstoi	1
195350	Morumbi	vila tramontano	1
195425	Moema	vila uberabinha	1
195488	Rio Pequeno	vila universitaria	1
195580	Freguesia do Ó	vila uniao	1
195608	Ponte Rasa	vila uniao	1
195614	Santo Amaro	vila uniao	1
195664	Pirituba	vila ursulina	1
195755	Itaquera	vila ursulina e mastrocola	1
195852	Itaim Paulista	vila valdemar	1
196006	Casa Verde	vila vanda	1
196124	Jaguara	vila varanda	1
196160	Rio Pequeno	vila vasconcelos	1
196228	Sacomã	vila vera	1
196239	Cidade Dutra	vila vera	1
196255	Penha	vila vera	1
196331	Itaquera	vila verde	1
196420	Sacomã	vila vergueiro	1
196516	Sacomã	vila vermelha	1
196675	São Miguel	vila vessoni	1
196735	Penha	vila vidal	1
196803	Sapopemba	vila virginia	1
196929	Jardim Helena	vila vitoria	1
197039	Mandaqui	vila vitorio mazzei	1
197155	São Miguel	vila xavantes	1
197212	Freguesia do Ó	vila yara	1
197294	Cidade Tiradentes	vila yolanda	1
197392	Pirituba	vila zat	1
197516	Guaianases	vila zefira	1
197614	Vila Prudente	vila zelina	1
197677	Tremembé	vila zilda	1
197818	São Domingos	vila zulmira	1
197897	Santana	vila zelia	1
197967	Cidade Dutra	vila da paz	1
198057	Jabaquara	vila da saude	1
198146	Capão Redondo	vila das belezas	1
198244	Sacomã	vila das merces	1
198352	Pirituba	vila das palmeiras	1
198466	Saúde	vila do bosque	1
198568	Campo Grande	vila do castelo	1
198633	Jabaquara	vila do encontro	1
198721	Jardim Ângela	vila do sol	1
198835	Pedreira	vila dos andradas	1
198936	Cachoeirinha	vila dos andrades	1
199099	Barra Funda	vila dos ferroviarios	1
199131	São Lucas	vila dos minerios	1
199272	Anhanguera	vila dos palmares	1
199388	Jaguara	vila dos remedios	1
199441	Cursino	vila agua funda	1
199538	Perdizes	vila anglo brasileira	1
199675	Barra Funda	varzea da barra funda	1
199742	Santo Amaro	varzea de baixo	1
199795	Pedreira	zavuvus	1
199963	Barra Funda	agua branca	1
200009	Santana	agua fria	1
200113	Cursino	agua funda	1
200221	Água Rasa	agua rasa	1
